110.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	110.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.25	5.25	105.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.88	7.88	7.88	107.88	0.00	0.00	0.00	0.00	0.00	0.00
12.80	12.80	12.80	12.80	112.80	0.00	0.00	0.00	0.00	0.00
8.25	8.25	8.25	8.25	8.25	108.25	0.00	0.00	0.00	0.00
10.25	10.25	10.25	10.25	10.25	10.25	110.25	0.00	0.00	0.00
5.63	5.63	5.63	5.63	5.63	5.63	5.63	105.63	0.00	0.00
8.38	8.38	8.38	8.38	8.38	8.38	8.38	8.38	108.38	0.00
8.38	8.38	8.38	8.38	8.38	8.38	8.38	8.38	8.38	108.38
